epoch,bce,kd,crf,feat,att,label_corr,akd_weight,mean_recoverability,mean_r500,mean_r100,total,val_auc,val_f1,best_val_auc
82,0.1331,1.00907,0.0,0.0,0.0,0.0,0.0,0.94668,0.95274,0.93759,1.14217,0.84099,0.58224,0.84457
83,0.13326,1.0093,0.0,0.0,0.0,0.0,0.0,0.94669,0.95279,0.93755,1.14257,0.84139,0.57873,0.84457
84,0.13302,1.00837,0.0,0.0,0.0,0.0,0.0,0.94672,0.9528,0.9376,1.14139,0.84136,0.582,0.84457
85,0.1331,1.00858,0.0,0.0,0.0,0.0,0.0,0.94667,0.95273,0.93759,1.14167,0.84116,0.58089,0.84457
86,0.13328,1.00798,0.0,0.0,0.0,0.0,0.0,0.94677,0.95284,0.93768,1.14127,0.84131,0.58472,0.84457
87,0.13264,1.00965,0.0,0.0,0.0,0.0,0.0,0.94668,0.95275,0.93757,1.14229,0.84133,0.57929,0.84457
88,0.13284,1.00763,0.0,0.0,0.0,0.0,0.0,0.94669,0.95274,0.93761,1.14047,0.84131,0.5823,0.84457
89,0.13294,1.00944,0.0,0.0,0.0,0.0,0.0,0.94676,0.95283,0.93765,1.14238,0.84133,0.58105,0.84457
90,0.13327,1.00865,0.0,0.0,0.0,0.0,0.0,0.94668,0.95278,0.93754,1.14192,0.84126,0.58096,0.84457
91,0.13295,1.00869,0.0,0.0,0.0,0.0,0.0,0.94671,0.95278,0.93761,1.14164,0.84139,0.58265,0.84457
92,0.13295,1.00901,0.0,0.0,0.0,0.0,0.0,0.94667,0.95275,0.93755,1.14196,0.84126,0.58494,0.84457
93,0.1329,1.00898,0.0,0.0,0.0,0.0,0.0,0.94669,0.95276,0.93759,1.14188,0.84137,0.57992,0.84457
94,0.13264,1.00837,0.0,0.0,0.0,0.0,0.0,0.94674,0.95282,0.93762,1.14101,0.84139,0.57902,0.84457
95,0.13313,1.00855,0.0,0.0,0.0,0.0,0.0,0.94672,0.9528,0.9376,1.14168,0.84138,0.58247,0.84457
96,0.13273,1.00922,0.0,0.0,0.0,0.0,0.0,0.94666,0.95273,0.93754,1.14195,0.84139,0.58025,0.84457
97,0.13272,1.0087,0.0,0.0,0.0,0.0,0.0,0.94665,0.95275,0.93751,1.14141,0.8413,0.58195,0.84457
98,0.1331,1.00837,0.0,0.0,0.0,0.0,0.0,0.94669,0.95274,0.93761,1.14148,0.84132,0.58442,0.84457
99,0.13258,1.00819,0.0,0.0,0.0,0.0,0.0,0.94672,0.95275,0.93768,1.14077,0.84125,0.57846,0.84457
100,0.13265,1.00836,0.0,0.0,0.0,0.0,0.0,0.9467,0.95279,0.93756,1.14101,0.84136,0.58119,0.84457
