method_name,lead,hz,losses,n_seeds,class,auc_mean,auc_std,f1_0_5_mean,f1_0_5_std,f1_tuned_mean,f1_tuned_std
"II_50hz_bce,ta_mkd,ta_crf,feature_clecg",II,50,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87165,0.0,0.5848,0.0,0.65998,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_clecg",II,50,"bce,ta_mkd,ta_crf,feature",1,CD,0.84874,0.0,0.66165,0.0,0.65966,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_clecg",II,50,"bce,ta_mkd,ta_crf,feature",1,HYP,0.7494,0.0,0.21384,0.0,0.3545,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog",II,50,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89055,0.0,0.79367,0.0,0.80205,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog",II,50,"bce,ta_mkd,ta_crf,feature",1,MI,0.80057,0.0,0.49498,0.0,0.57095,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog",II,50,"bce,ta_mkd,ta_crf,feature",1,STTC,0.86743,0.0,0.59661,0.0,0.64127,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog",II,50,"bce,ta_mkd,ta_crf,feature",1,CD,0.852,0.0,0.62665,0.0,0.66595,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog",II,50,"bce,ta_mkd,ta_crf,feature",1,HYP,0.7496,0.0,0.25882,0.0,0.37288,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog_simclr",II,50,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89248,0.0,0.80271,0.0,0.80764,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog_simclr",II,50,"bce,ta_mkd,ta_crf,feature",1,MI,0.80543,0.0,0.50756,0.0,0.58274,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog_simclr",II,50,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87558,0.0,0.60395,0.0,0.67082,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog_simclr",II,50,"bce,ta_mkd,ta_crf,feature",1,CD,0.86476,0.0,0.64216,0.0,0.65977,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_prog_simclr",II,50,"bce,ta_mkd,ta_crf,feature",1,HYP,0.75964,0.0,0.24169,0.0,0.36693,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89038,0.0,0.79961,0.0,0.79776,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,MI,0.79848,0.0,0.44307,0.0,0.57862,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87044,0.0,0.60068,0.0,0.63782,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,CD,0.84509,0.0,0.6181,0.0,0.64388,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,HYP,0.74553,0.0,0.26593,0.0,0.37217,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,NORM,0.88837,0.0,0.79592,0.0,0.79926,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,MI,0.7934,0.0,0.47991,0.0,0.56761,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,STTC,0.86778,0.0,0.58207,0.0,0.62547,0.0
